Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",34554,24781,837,486,6939,149,1362
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0500000US06101,6101,"Sutter County, California",47736,36211,1085,1095,7273,190,1882
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",14069,12394,229,604,291,47,504
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",32932,23152,901,446,6885,126,1422
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0500000US06101,6101,"Sutter County, California",47001,35546,1130,1050,7176,173,1926
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",27251,23824,477,1213,625,88,1024
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",67486,47933,1738,932,13824,275,2784
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0500000US06101,6101,"Sutter County, California",94737,71757,2215,2145,14449,363,3808
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",13182,11430,248,609,334,41,520
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",34559,24786,837,486,6939,149,1362
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0500000US06101,6101,"Sutter County, California",47741,36216,1085,1095,7273,190,1882
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",14069,12394,229,604,291,47,504
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",32933,23153,901,446,6885,126,1422
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0500000US06101,6101,"Sutter County, California",47002,35547,1130,1050,7176,173,1926
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",27251,23824,477,1213,625,88,1024
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",67492,47939,1738,932,13824,275,2784
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0500000US06101,6101,"Sutter County, California",94743,71763,2215,2145,14449,363,3808
est72010,1-Jul-10,female,Female,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",13255,11502,250,608,335,42,518
est72010,1-Jul-10,female,Female,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",34516,24716,831,492,6957,155,1365
est72010,1-Jul-10,female,Female,tothisp,Total,0500000US06101,6101,"Sutter County, California",47771,36218,1081,1100,7292,197,1883
est72010,1-Jul-10,male,Male,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",14123,12443,235,603,292,48,502
est72010,1-Jul-10,male,Male,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",32912,23096,895,445,6925,130,1421
est72010,1-Jul-10,male,Male,tothisp,Total,0500000US06101,6101,"Sutter County, California",47035,35539,1130,1048,7217,178,1923
est72010,1-Jul-10,totsex,Both Sexes,hisp,Hispanic,0500000US06101,6101,"Sutter County, California",27378,23945,485,1211,627,90,1020
est72010,1-Jul-10,totsex,Both Sexes,nhisp,Not Hispanic,0500000US06101,6101,"Sutter County, California",67428,47812,1726,937,13882,285,2786
